question,features,discernatron_reliable,classifier,accuracy
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",TRUE,C5.0,0.6381
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",TRUE,C5.0,0.6577
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",TRUE,C5.0,0.6171
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,C5.0,0.6381
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,C5.0,0.6306
"If someone searched for '...', would they want to read this article?",survey-only,FALSE,C5.0,0.7324
"If someone searched for '...', would they want to read this article?",survey & page info,FALSE,C5.0,0.6891
"If someone searched for '...', would they want to read this article?",survey & traffic,FALSE,C5.0,0.7055
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",FALSE,C5.0,0.6771
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",FALSE,C5.0,0.6487
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",FALSE,C5.0,0.6771
"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,C5.0,0.6607
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",FALSE,C5.0,0.6173
"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",FALSE,C5.0,0.707
"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,C5.0,0.6487
"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,C5.0,0.707
"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,C5.0,0.6442
"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,C5.0,0.6487
"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,C5.0,0.6487
"If you searched for '...', would this article be a good result?",survey-only,FALSE,C5.0,0.6261
"If you searched for '...', would this article be a good result?",survey & page info,FALSE,C5.0,0.6111
"If you searched for '...', would this article be a good result?",survey & traffic,FALSE,C5.0,0.6411
"If you searched for '...', would this article be a good result?","survey, page info, and traffic",FALSE,C5.0,0.6246
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",FALSE,C5.0,0.6306
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",FALSE,C5.0,0.6366
"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,C5.0,0.6456
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",FALSE,C5.0,0.6096
"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",FALSE,C5.0,0.6291
"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,C5.0,0.6156
"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,C5.0,0.6291
